trend,rsi,uosc,adx,cci,ema12,macd
1,57.27901661266684,54.54779965709756,18.279385762669275,47.16289104638615,0.5822647131383897,-0.046641444047116676
1,54.9775086217008,50.326561674905655,18.008925483360212,-27.229962004704166,0.5939250741501688,-0.06511456126996207
0,53.343724505867606,55.519003423597994,18.1003464694721,-70.08443908323295,0.6102037144676593,-0.05705327242965352
1,53.47242562157833,56.97011636898005,18.504039927471364,-3.5610229847847483,0.6244670325750726,-0.019786723750756186
0,53.77360375998119,52.940761452995766,18.86541948307441,16.46657619097333,0.6294137135127617,0.030205729881365273
1,53.67669379963065,55.98746834108185,19.254597466031537,25.38229180404054,0.6218622810424204,0.09319410220780466
1,57.964545179888084,53.164719712833154,19.590914075546582,44.48466566113628,0.5985637554904693,0.17888586541971696
1,57.96454517988806,46.81859283993276,19.935820544296824,56.593031200182196,0.55384228913554,0.2145536151746671
0,58.281467433646625,45.67788487889164,19.669538949197648,58.10378860235593,0.5002038853418732,0.24545951662712173
0,58.28146743364664,64.47019509493695,19.420289440639348,61.500390895052774,0.43883900618509275,0.2608543524033883
1,58.14993713928603,65.2877036995048,19.135870092616734,65.26626128616176,0.37362541808424565,0.2572160908281832
0,59.76848698814127,67.49595567790514,18.829572333207768,85.06456173102548,0.3093213953771998,0.22853696709179627
0,55.91949509977352,43.246618910638645,18.23701804295622,60.57981423974201,0.25218715360425076,0.1214947803137601
1,56.400500707303046,48.084630411213276,17.598882653454552,50.65532207468523,0.22181345852581072,0.0641570057301348
0,56.1083527536649,47.50448892878259,17.361235250664244,52.048890927224186,0.205774207093277,-0.048133225413362984
0,56.1083527536649,45.39741998030553,17.109263112665626,54.3349859564093,0.21780751344661775,-0.21607275835181872
0,39.16753160103941,15.41556984696795,16.87116964518451,-155.55555555555554,0.27182570303457243,-0.4691092190370626
1,39.16753160103941,26.063768580113443,17.44197790271714,-233.33333333333323,0.3891030077938381,-0.3467729932186506
1,39.16753160103941,26.11641156909447,18.056694487752285,-233.33333333333323,0.4757962560985008,-0.1282479536161712
0,56.948936328060576,35.268688288976996,18.718696963943977,65.0700104493208,0.5078582445025436,0.22420433378152282
0,57.49640541216293,43.249981538619345,17.92633871223031,81.05388559150765,0.4518071610571629,0.26453272811153405
